Время	Вх. t	Вых. t	
0	20	0
1	21	20
2	22	39.9129
3	23	58.3583
4	24	73.9206
5	25	86.2766
6	26	96.2791
7	27	105.075
8	28	113.061
9	29	119.67
10	30	124.191
11	31	126.788
12	32	128.697
13	33	131.348
14	34	135.202
15	35	139.429
16	36	142.736
17	37	144.594
18	38	145.769
19	39	147.641
20	40	150.925
21	41	154.998
22	42	158.465
23	43	160.436
24	44	161.364
25	45	162.657
26	46	165.37
27	47	169.227
28	48	172.859
29	49	175.059
